Shoots: dispara, brotos, filmagens  
shirt: camisa, blusa, vestimenta  
shock: choque, impacto, surpresa  
shoe: sapato, calçado, proteção  
shoot: atirar, filmar, lançar  
shop: loja, comércio, oficina  
short: curto, pequeno, breve  
should: deveria, dever, obrigação  
shoulder: ombro, suporte, lateral  
shout: gritar, berrar, exclamar  
show: mostrar, exibir, espetáculo  
shut: fechar, encerrar, bloquear  
side: lado, lateral, margem  
sight: visão, vista, paisagem  
sign: sinal, assinar, indicar  
signal: sinal, alerta, comunicação  
silence: silêncio, calma, quietude  
silver: prata, prateado, dinheiro  
similar: semelhante, parecido, análogo  
simple: simples, fácil, básico  
simulate: simular, imitar, reproduzir  
since: desde, visto que, pois  
sing: cantar, entoar, louvar  
single: único, solteiro, individual  
sink: afundar, pia, dissipar  
sister: irmã, freira, companheira  
site: local, localidade, website  
situation: situação, condição, contexto  
size: tamanho, dimensão, volume  
skill: habilidade, competência, destreza  
skin: pele, casca, revestimento  
sky: céu, firmamento, paraíso  
sleep: dormir, sono, repouso  
slice: fatia, porção, cortar  
slide: deslizar, escorregar, lâmina  
slow: lento, devagar, atrasado  
small: pequeno, reduzido, insignificante  
smart: inteligente, esperto, elegante  
smell: cheiro, odor, olfato  
smile: sorrir, sorriso, expressão  
smoke: fumaça, fumar, névoa  
smooth: suave, liso, macio  
snow: neve, nevão, nevasca  
so: então, assim, portanto  
social: social, comunitário, coletivo  
soft: macio, suave, delicado  
solar: solar, do sol, energia  
soldier: soldado, combatente, guerreiro  
solution: solução, resposta, remédio  
solve: resolver, solucionar, desvendar  
some: algum, alguns, um pouco  
song: canção, música, melodia  
soon: em breve, logo, rapidamente  
sort: tipo, classe, ordenar  
sound: som, barulho, sólido  
source: fonte, origem, suprimento  
south: sul, meridional, austral  
space: espaço, área, vácuo  
speak: falar, dizer, expressar  
special: especial, único, extraordinário  
specific: específico, particular, detalhado  
speed: velocidade, rapidez, acelerar  
spell: soletrar, feitiço, encantamento  
spend: gastar, consumir, despender  
spirit: espírito, ânimo, alma  
split: dividir, separar, rachar  
sport: esporte, atividade, recreação  
spot: ponto, local, mancha  
spread: espalhar, difundir, distribuir  
spring: primavera, mola, fonte  
square: quadrado, praça, ângulo reto  
stable: estável, firme, constante  
staff: equipe, funcionários, bastão  
stage: palco, fase, estágio  
stand: ficar de pé, suporte, banca  
standard: padrão, norma, convencional  
star: estrela, astro, celebridade  
start: começar, iniciar, partida  
state: estado, condição, declarar  
station: estação, posto, local  
stay: ficar, permanecer, estadia  
steal: roubar, furtar, surrupiar  
steam: vapor, fumaça, energia  
steel: aço, metal, lâmina  
step: passo, degrau, etapa  
stick: bastão, vareta, aderir  
still: ainda, imóvel, tranquilo  
stone: pedra, rocha, gema  
stop: parar, interromper, impedir  
store: loja, armazenar, estoque  
storm: tempestade, tormenta, furacão  
story: história, conto, narrativa  
straight: reto, direto, heterossexual  
strange: estranho, incomum, esquisito  
strategy: estratégia, tática, plano  
street: rua, estrada, via  
strength: força, resistência, vigor  
stress: estresse, tensão, pressão  
strike: greve, atacar, golpe  
strong: forte, resistente, sólido  
structure: estrutura, construção, organização  
student: estudante, aluno, aprendiz  
study: estudar, análise, pesquisa  
style: estilo, moda, forma  
subject: assunto, matéria, tema  
success: sucesso, êxito, conquista  
sudden: súbito, repentino, inesperado  
sugar: açúcar, doçura, mel  
summer: verão, estação quente, férias  
sun: sol, astro, luz solar  
super: super, excelente, incrível  
support: suporte, apoiar, ajudar  
sure: certo, seguro, garantido  
surface: superfície, exterior, aparência  
survive: sobreviver, resistir, perdurar  
system: sistema, método, organização  

